genotype	sex	age_at_inf	day	outcome	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	age_binary	UID
APOE2	male	16.14285714	2	0	100	94.4055944055944	93.7062937062937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	73
APOE2	male	18.28571429	4	0	100	97.48427672955975	96.22641509433963	89.30817610062893	82.70440251572327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	74
APOE2	male	18.28571429	4	0	100	98.27586206896551	93.10344827586206	85.86206896551724	81.03448275862068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	75
APOE2	male	18.28571429	2	0	100	96.57142857142857	96.57142857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	76
APOE2	male	18.28571429	2	0	100	97.8395061728395	94.13580246913581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	77
APOE2	male	16.14285714	4	0	100	96.55172413793103	93.10344827586206	87.58620689655172	80.3448275862069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	78
APOE2	male	16.14285714	2	0	100	98.27586206896551	96.89655172413794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	79
APOE3	male	22	4	0	100	98.36065573770492	95.73770491803279	88.52459016393442	88.1967213114754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	80
APOE3	male	22	4	0	100	96.996996996997	96.996996996997	90.0900900900901	84.98498498498499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	81
APOE3	male	22	2	0	100	99.06542056074767	98.75389408099687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	82
APOE3	male	22	2	0	100	98.39142091152816	93.2975871313673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	83
APOE3	male	15.42857143	4	0	100	96.41791044776119	95.52238805970148	88.35820895522389	86.86567164179105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	84
APOE3	male	15.42857143	4	0	100	94.49541284403668	95.10703363914372	89.90825688073393	86.23853211009174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	85
APOE3	male	15.42857143	4	0	100	94.97206703910615	95.53072625698326	88.54748603351956	89.10614525139665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	86
APOE3	male	15.42857143	2	0	100	93.87755102040818	95.6268221574344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	87
APOE3	male	15.42857143	2	0	100	96.58385093167702	95.96273291925465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	88
APOE4	male	17	2	0	100	95.43859649122807	94.73684210526315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	89
APOE4	male	17	2	0	100	94.23728813559322	93.22033898305084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	90
APOE4	male	16.42857143	4	0	100	95.09803921568627	93.4640522875817	83.66013071895425	78.10457516339868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	91
APOE4	male	16.85714286	2	0	100	96.42857142857143	99.28571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	92
APOE4	male	16.85714286	4	0	100	96.84210526315789	97.19298245614036	95.78947368421052	98.24561403508771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	93
APOE4	male	16.85714286	4	0	100	98.09160305343512	94.27480916030534	84.35114503816796	83.20610687022901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	94
APOE4	male	18.71428571	2	0	100	96.55172413793103	92.75862068965517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	95
APOE4	male	18.71428571	4	0	100	96.3455149501661	92.0265780730897	84.38538205980065	78.40531561461795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	96
APOE4	male	17.14285714	2	0	100	96.51567944250871	93.72822299651567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	97
APOE4	male	17.14285714	4	0	100	96.12676056338029	94.36619718309859	86.26760563380283	85.91549295774648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	98
APOE4	male	17.14285714	4	0	100	95.6	92.4	86	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	99
APOE2	male	32.85714286	6	1	100	97.19626168224298	90.34267912772586	86.6043613707165	82.2429906542056	78.50467289719626	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	100
APOE2	male	37	5	1	100	97.69736842105263	92.4342105263158	84.86842105263158	82.23684210526316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	101
APOE2	male	32.85714286	6	1	100	96.9387755102041	92.85714285714286	89.79591836734694	85.37414965986395	82.6530612244898	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	102
